name,price,image,category
AEROSMITH POP! 5-PACK,60.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/77189_AEROSMITH_POP_Figures_5pk_GLAM-WEB.png?v=1716284813,POP! 5-PACK
AGATHA HARKNESS - AGATHA ALL ALONG,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/75708_POP_Agatha-CoC_Agatha_GLAM-WEB.png?v=1726674676,POP!
AGENT P - PHINEAS AND FERB,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86691_PHINEASANDFERB_AGENTPERRY_POP_GLAM-WEB.png?v=1749133298,POP!
AGGRETSUKO WITH GUITAR - AGGRETSUKO,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/80391_Aggretsuko_S2_AggretsukoWGuitar_POP_GLAM-WEB.png?v=1729681274,POP!
AGGRETSUKO WITH HEADPHONES - AGGRETSUKO,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/80392_Aggretsuko_S2_AggretsukoWHeadphones_POP_GLAM-WEB.png?v=1729681278,POP!
AHSOKA (LIGHTS & SOUNDS) - STAR WARS,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86453_POP-SFX_Star-Wars_Ahsoka_GLAM-WEB.png?v=1750780228,ELECTRONIC POP!
AHSOKA - THE BOOK OF BOBA FETT,18.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/77039-BOBF-AHSOKA-OUTPUT.png?v=1712677857,TEE
AHSOKA TANO - STAR WARS: AHSOKA,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/72175a_Ahsoka_POP1_POP_GLAM-WEB.png?v=1692800252,POP!
AIPOM (FLOCKED) - POKÉMON,16.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/69136_Pokemon_Aipom_FL__EMEA_POP_GLAM-WEB.png?v=1747130624,POP!
AJA LEITH - JEM AND THE HOLOGRAMS!,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83731_POPAnimation_JatH-Aja_GLAM-WEB.png?v=1734521952,POP!
AKALI - LEAGUE OF LEGENDS,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83857_LOL_S3_Akali_POP_GLAM-WEB.png?v=1738836899,POP!
AKANE - RANMA 1/2,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86782_Ranma_Akane_POP_GLAM-WEB.png?v=1748874858,POP!
AKATSUKI SLING BAG - NARUTO SHIPPUDEN,40.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/NRTB0002-LFNARUTOAKATSUKISLINGBAG0353.png?v=1737982254,LOUNGEFLY
AKAZA - DEMON SLAYER,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86505_DS_Akaza_POP_GLAM-WEB.png?v=1753697276,POP!
AKAZA - DEMON SLAYER POP! KEYCHAIN,5.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86509_DemonSlayer_Akaza_POP_KC_GLAM-WEB.png?v=1753697170,POP! KEYCHAIN
AKI HAYAKAWA - CHAINSAW MAN,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/80319_CSM_Aki_POP_GLAM-WEB.png?v=1718635651,POP!
AKI HAYAKAWA - CHAINSAW MAN POP! KEYCHAIN,5.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/83633_CSM_S2_Aki_POCKET_POP_KEYCHAIN_GLAM-WEB.png?v=1729077022,POP! KEYCHAIN
AKI HAYAKAWA - CHAINSAW MAN POP! MOMENT,33.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/86485_CSM_S3_Aki_POP_MOMENT_GLAM-WEB.png?v=1749655085,POP! MOMENT
AL - TOY STORY,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/files/88467_POP_Disney_TS30th_Al_POP_GLAM-WEB.png?v=1747830582,POP!
ALBUS DUMBLEDORE - HARRY POTTER,13.0,https://cdn.shopify.com/s/files/1/0433/1952/5529/products/5863_HP_Dumbledore_GLAM_-_Pop.png?v=1614859823,POP!
